Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Brown, Corey	Was	UT,OF	3	1	.200	0	25	5	4	1	9	.231	.400	.631
Brown, Gary	SF(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Brown, Jordan	Mia(NRI)	1B,CM,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Buck, Travis	SD(NRI)	UT,OF	6	0	.216	0	74	16	7	6	18	.284	.311	.595
Buller, Dayton	Mil(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Burriss, Emmanuel	Cin(NRI)	UT,MI,2B	7	0	.213	5	136	29	15	10	25	.270	.221	.491
Byrd, Marlon	NYM(NRI)	UT,OF	9	1	.210	0	143	30	10	5	31	.243	.245	.488
Castillo, Wilkin	LAD(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Castillo, Welington	ChC	C,UT	22	5	.265	0	170	45	16	17	51	.337	.418	.754
Castro, Ramon	LAD(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Cedeno, Ronny	StL	UT,MI,2B,SS	22	4	.259	0	166	43	18	17	35	.332	.410	.741
Centeno, Juan	NYM(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Chambers, Adron	StL	UT,OF	4	0	.222	2	54	12	4	5	18	.300	.296	.596
Chavez, Johermyn	ChC(NRI)	UT,OF	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Choo, Shin-Soo	Cin	UT,OF	67	16	.283	21	598	169	88	73	150	.373	.441	.815
Christian, Justin	StL(NRI)	UT,OF	2	0	.125	2	56	7	6	5	3	.197	.143	.340
Coghlan, Chris	Mia	UT,OF	10	1	.140	0	93	13	10	9	12	.212	.183	.394
Constanza, Jose	Atl	UT,OF	4	0	.250	5	76	19	8	8	21	.321	.276	.598
Cowgill, Collin	NYM	UT,OF	9	1	.269	3	104	28	10	11	27	.336	.317	.654
Crawford, Carl	LAD	UT,OF	19	3	.282	5	117	33	23	3	22	.306	.479	.785
Crosby, Bobby	Mil(NRI)	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Cruz, Luis	LAD	CM,UT,MI,SS,3B	40	6	.297	2	283	84	26	9	34	.322	.431	.753
Culberson, Charlie	Col	UT,MI,2B	1	0	.136	0	22	3	0	0	7	.136	.136	.273
