Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
156,Wayne Simpson\simpswa01,23,CIN,8,5,.615,4.14,24,22,1,1,0,0,130.1,124,63,60,17,49,4,70,2,0,6,555,78,4.19,1.327,8.6,1.2,3.4,4.8,1.43
157,Bill Singer\singebi01,28,LAD,6,16,.273,3.67,26,25,0,4,3,0,169.1,148,84,69,8,60,4,101,5,0,5,708,92,2.97,1.228,7.9,0.4,3.2,5.4,1.68
158,Elias Sosa\sosael01,22,SFG,0,1,.000,2.30,8,0,4,0,0,3,15.2,10,4,4,0,12,0,10,0,0,0,67,156,3.42,1.404,5.7,0.0,6.9,5.7,0.83
159,Scipio Spinks\spinksc01,24,STL,5,5,.500,2.67,16,16,0,6,0,0,118.0,96,39,35,5,59,2,93,2,0,7,497,129,2.92,1.314,7.3,0.4,4.5,7.1,1.58
160,Ed Sprague\spraged01,26,CIN,3,3,.500,4.13,33,1,10,0,0,0,56.2,55,33,26,6,26,3,25,3,0,6,245,79,4.43,1.429,8.7,1.0,4.1,4.0,0.96
161,George Stone*\stonege02,25,ATL,6,11,.353,5.51,31,16,7,2,1,1,111.0,143,72,68,18,44,11,63,4,0,3,511,69,4.67,1.685,11.6,1.5,3.6,5.1,1.43
162,Steve Stone\stonest01,24,SFG,6,8,.429,2.98,27,16,2,4,1,0,123.2,97,48,41,11,49,2,85,2,1,2,506,117,3.42,1.181,7.1,0.8,3.6,6.2,1.73
163,Bill Stoneman\stonebi01,28,MON,12,14,.462,2.98,36,35,0,13,4,0,250.2,213,93,83,15,102,12,171,3,0,5,1049,119,3.07,1.257,7.6,0.5,3.7,6.1,1.68
164,Mike Strahler\strahmi01,25,LAD,1,2,.333,3.26,19,2,5,1,0,0,47.0,42,25,17,5,22,1,25,1,0,2,207,104,4.19,1.362,8.0,1.0,4.2,4.8,1.14
165,John Strohmayer\strohjo01,25,MON,1,2,.333,3.52,48,0,20,0,0,3,76.2,73,32,30,6,31,3,50,1,1,3,323,101,3.36,1.357,8.6,0.7,3.6,5.9,1.61
166,Brent Strom*\strombr01,23,NYM,0,3,.000,6.82,11,5,3,0,0,0,30.1,34,25,23,7,15,1,20,0,1,1,134,50,5.56,1.615,10.1,2.1,4.5,5.9,1.33
167,Don Sutton\suttodo01,27,LAD,19,9,.679,2.08,33,33,0,18,9,0,272.2,186,78,63,13,63,1,207,4,1,9,1061,162,2.24,0.913,6.1,0.4,2.1,6.8,3.29
